,subject,age,gender,word,word_nr,distance,cumulative,time,category
0,Harry Potter,21,m,pizza,1.0,0.0,0.0,5.84123420715,foods
1,Harry Potter,21,m,pasta,2.0,12.2737660158,12.2737660158,1.93002986908,foods
2,Harry Potter,21,m,spagetti,3.0,100.0,112.273766016,2.82946205139,foods
3,Harry Potter,21,m,oupagine,4.0,100.0,212.273766016,10.3635680676,foods
4,Harry Potter,21,m,totamato,5.0,100.0,312.273766016,2.79684305191,foods
5,Harry Potter,21,m,cucamber,6.0,100.0,412.273766016,2.26173782349,foods
6,Harry Potter,21,m,salad,7.0,100.0,512.273766016,2.43823504448,foods
7,Harry Potter,21,m,kale,8.0,100.0,612.273766016,14.0467429161,foods
8,Harry Potter,21,m,carrot,9.0,100.0,712.273766016,3.0246989727,foods
9,Harry Potter,21,m,corn,10.0,50.8460624628,763.119828479,5.33057904243,foods
10,Harry Potter,21,m,icecubs,11.0,100.0,863.119828479,4.2688229084,foods
11,Harry Potter,21,m,strowberry,12.0,100.0,963.119828479,4.11913609505,foods
12,Harry Potter,21,m,blueberry,13.0,100.0,1063.11982848,3.15317702293,foods
13,Harry Potter,21,m,beif,14.0,100.0,1163.11982848,3.24742293358,foods
14,Harry Potter,21,m,falafel,15.0,100.0,1263.11982848,3.89443516731,foods
15,Harry Potter,21,m,souse,16.0,100.0,1363.11982848,2.83624482155,foods
16,Harry Potter,21,m,soda,17.0,100.0,1463.11982848,3.2392950058,foods
17,Harry Potter,21,m,orange juice,18.0,37.4189393252,1500.5387678,5.59944796562,foods
18,Harry Potter,21,m,applejuice,19.0,100.0,1600.5387678,3.11539411545,foods
19,Harry Potter,21,m,orange,20.0,100.0,1700.5387678,2.78859376907,foods
20,Harry Potter,21,m,banana,21.0,22.7510349682,1723.28980277,3.11376190186,foods
21,Harry Potter,21,m,watermelon,22.0,21.7542047381,1745.04400751,3.16578412056,foods
22,Harry Potter,21,m,figs,23.0,37.0942962248,1782.13830373,5.63952088356,foods
23,Harry Potter,21,m,plumb,24.0,100.0,1882.13830373,2.51317405701,foods
24,Harry Potter,21,m,pineapple,25.0,100.0,1982.13830373,15.6187298298,foods
