"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @DonaldJTrumpJr: Too funny not to share I’ve seen this one floating around and couldn’t resist. #maga https://t.co/vXLJJqvZb6",FALSE,0,NA,2017-11-23 20:56:00,FALSE,NA,"933801330250010625",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lynnekayy",3181,TRUE,FALSE,NA,NA
"2","RT @ScottRickhoff: I am etremely thankful @HillaryClinton is not our #President too! Pass this on if you are greatful too. #MAGA #Winning h…",FALSE,0,NA,2017-11-23 20:55:55,FALSE,NA,"933801307961425932",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","conniebogart54",37,TRUE,FALSE,NA,NA
"3","RT @Kris_Sacrebleu: Hey #MAGA -- here's what your super genius POTUS said to the Coast Guard today <ed><U+00A0><U+00BD><ed><U+00B9><U+0084>

https://t.co/f6GRcelTDy https://t.co/…",FALSE,0,NA,2017-11-23 20:55:52,FALSE,NA,"933801293080035333",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gopsaidwhat",69,TRUE,FALSE,NA,NA
"4","RT @NolteNC: ISIS state demolished. 

Illegal immigration down. 

SCOTUS saved. 

And CNN in a distant last place. 

As #MAGA as it gets. h…",FALSE,0,NA,2017-11-23 20:55:50,FALSE,NA,"933801286910214145",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","1kellysanderson",456,TRUE,FALSE,NA,NA
"5","RT @SheriffClarke: America has much to be thankful for. We have been blessed in 2017 with the leadership of @realDonaldTrump. #MAGA
Happy T…",FALSE,0,NA,2017-11-23 20:55:47,FALSE,NA,"933801272976793602",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Lisa70294648",954,TRUE,FALSE,NA,NA
"6","@TomFitton Happy Thanksgiving Tom!! God Bless an a huge Thank You for all your hard work!! #MAGA<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>",FALSE,0,"TomFitton",2017-11-23 20:55:47,FALSE,"933703386624659456","933801271806525441","18266688","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Magmay13",0,FALSE,FALSE,NA,NA
"7","RT @Lrihendry: Happy Thanksgiving to #military who can’t be home with their family and loved ones today. #HappyThanksgiving #MAGA @realDona…",FALSE,0,NA,2017-11-23 20:55:44,FALSE,NA,"933801262973358080",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Dee33305261",482,TRUE,FALSE,NA,NA
"8","RT @SheriffClarke: America has much to be thankful for. We have been blessed in 2017 with the leadership of @realDonaldTrump. #MAGA
Happy T…",FALSE,0,NA,2017-11-23 20:55:43,FALSE,NA,"933801256434520065",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sande_smith42",954,TRUE,FALSE,NA,NA
"9","RT @WomenforTrump: Use little red #Maga caps as turkey leg booties.
#HowToPoliticizeThanksgiving https://t.co/6tNLFwnQW5",FALSE,0,NA,2017-11-23 20:55:43,FALSE,NA,"933801255863975936",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FuilerWealth",15,TRUE,FALSE,NA,NA
"10","RT @K9Kris3298: We are in full purge!!!!   #MAGA  #TheStorm  #QAnon  #FollowTheWhiteRabbit https://t.co/kY57ahMqni",FALSE,0,NA,2017-11-23 20:55:43,FALSE,NA,"933801255385702400",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RhondaBauer24",126,TRUE,FALSE,NA,NA
"11","Review: Going Galt https://t.co/51hZlTc8VE Surviving Economic Armageddon 

#prepper #preppertalk #survival #ccot… https://t.co/k0UTcu3dqK",FALSE,0,NA,2017-11-23 20:55:40,TRUE,NA,"933801246045212673",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","TimGamble",0,FALSE,FALSE,NA,NA
"12","RT @SheriffClarke: America has much to be thankful for. We have been blessed in 2017 with the leadership of @realDonaldTrump. #MAGA
Happy T…",FALSE,0,NA,2017-11-23 20:55:40,FALSE,NA,"933801244426084352",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CherylPimentel1",954,TRUE,FALSE,NA,NA
"13","This guy is amazing check out his work! #Trump #Maga https://t.co/w8ropeO8OC",FALSE,0,NA,2017-11-23 20:55:39,FALSE,NA,"933801241947205632",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rabbitholerepor",0,FALSE,FALSE,NA,NA
