"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","One of the added benefits of getting your #dog trained .. <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
.
.
.
<ed><U+00A0><U+00BD><ed><U+00B3><U+00B7> @BigMooseDogTrai #wine #dogs #dogsoftwitter… https://t.co/jREKxAyyTL",FALSE,88,NA,2017-11-15 23:59:12,TRUE,NA,"930948328908513280",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","DemiCassiani",36,FALSE,FALSE,NA,NA
"2","<ed><U+00A0><U+00BC><ed><U+00BD><U+00B7><ed><U+00A0><U+00BD><ed><U+00B3><U+009D> A #Wine Bloggers Journal <ed><U+00A0><U+00BD><ed><U+00B3><U+009D><ed><U+00A0><U+00BC><ed><U+00BD><U+00B7>
 https://t.co/kqCUJpethU <ed><U+00A0><U+00BC><ed><U+00BD><U+0087> Featuring @denimandcardis @SOMMspirations @EnjoyJourney #wine #travel",FALSE,1,NA,2017-11-15 23:58:00,FALSE,NA,"930948027975634945",NA,"<a href=""http://paper.li"" rel=""nofollow"">Paper.li</a>","winemaps",1,FALSE,FALSE,NA,NA
"3","brilliant night on the chef's table this evening @restaurantadams <ed><U+00A0><U+00BC><ed><U+00BD><U+00B7><ed><U+00A0><U+00BC><ed><U+00BD><U+00B7> cos d'estournel so pure but @kracher_winery '0… https://t.co/sLgeYXq0JT",FALSE,11,NA,2017-11-15 23:57:19,TRUE,NA,"930947853979213827",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Shaun_Dunlop1",6,FALSE,FALSE,NA,NA
"4","2016 Holiday Wine Gift Guide
Sip Sonoma County HERE - 
https://t.co/rLh7eOQ1YX 
#SonomaChat #Wine #Holidays",FALSE,4,NA,2017-11-15 23:57:00,FALSE,NA,"930947774777999360",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","amylieberfarb",2,FALSE,FALSE,NA,NA
"5","Happy #Winesday everyone! Stop in for a glass of #wine or a #winetasting today.
#Cheers #SuVino #SuVinoScottsdale… https://t.co/jYa9pOvmuK",FALSE,1,NA,2017-11-15 23:56:20,TRUE,NA,"930947607849066496",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","SuVinoWineryAZ",0,FALSE,FALSE,NA,NA
"6","Santa those cases of wine won't fit under the tree! LOL <ed><U+00A0><U+00BC><ed><U+00BD><U+00B7> #winelovers #winelover #winetime #wine #wineoclock… https://t.co/nwuzhVj3Ui",FALSE,0,NA,2017-11-15 23:55:08,TRUE,NA,"930947304282120192",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","SanaasRoyalTees",0,FALSE,FALSE,NA,NA
"7","Rose with grapefruit <ed><U+00A0><U+00BC><ed><U+00BD><U+00B7><ed><U+00A0><U+00BC><ed><U+00BD><U+00B7><ed><U+00A0><U+00BC><ed><U+00BD><U+00B7> delish #wine #grapefruit #favorite https://t.co/weAE7wWPrd",FALSE,0,NA,2017-11-15 23:54:32,FALSE,NA,"930947152867553280",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Adriatic_Sea",0,FALSE,FALSE,NA,NA
"8","Like if you are Excited!

#wine #cool #drinking https://t.co/tDERM1HCHA https://t.co/Ry9sjkNeSt",FALSE,0,NA,2017-11-15 23:53:34,FALSE,NA,"930946912907419648",NA,"<a href=""https://mybaraccessories.com"" rel=""nofollow"">My Bar Accessories</a>","bar_accessories",0,FALSE,FALSE,NA,NA
"9","For those already drinking up the Holiday spirit...cheers! (find this art here: https://t.co/5QliPTzDJJ) #wine… https://t.co/S9YN4bU2Iz",FALSE,9,NA,2017-11-15 23:53:33,TRUE,NA,"930946906456408064",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Leanne_Laine",6,FALSE,FALSE,NA,NA
"10","Join us for a special holiday wine event in St. Petersburg happening now! #wine #stpetersburg… https://t.co/P5vSWWAqPO",FALSE,0,NA,2017-11-15 23:52:33,FALSE,NA,"930946654408192000",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","cerdallanosycia",1,FALSE,FALSE,"-82.6552217","27.7709751"
"11","#blog, #Wine #Vino: L'Ecole No. 41: Great photo here of Mike Sharon, production winemaker at L'Ecole No. 41. As you… https://t.co/201NXlA2Rx",FALSE,7,NA,2017-11-15 23:52:09,TRUE,NA,"930946556835930112",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","RealWineGuru",2,FALSE,FALSE,NA,NA
"12","#Alexa command bubbles! After a long day at work soak in an #Oasis  with your #wine. #Alexa take me away!… https://t.co/3tyOuvRbYe",FALSE,1,NA,2017-11-15 23:52:06,TRUE,NA,"930946543061934080",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","smarthouseaz",0,FALSE,FALSE,NA,NA
"13","Avanti 12 Bottle Thermoelectric Counter Top #Wine Cooler https://t.co/VcvLuvIRNH #winelovers #vino #wineoclock https://t.co/YXvkH4RDqR",FALSE,0,NA,2017-11-15 23:51:17,FALSE,NA,"930946337742508038",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","WineLoveShop",0,FALSE,FALSE,NA,NA
"14","Ha love this! #coffee #wine #drink #write #edits https://t.co/YATJEeR6xi",FALSE,0,NA,2017-11-15 23:50:14,FALSE,NA,"930946072352092160",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","NadineAuthor",0,FALSE,FALSE,NA,NA
"15","Tick Tock! The deadline to order your #Thanksgiving #wine from #Sunstone is almost here! Our must-have Thanksgiving… https://t.co/sniBvVwrzr",FALSE,0,NA,2017-11-15 23:50:08,TRUE,NA,"930946047525949440",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","SunstoneWinery",0,FALSE,FALSE,NA,NA
"16","Looking for quality social media management 4 your #cafe #winebrand #restaurant or #bar - try these guys https://t.co/3rKrR0vb9z #wine #bars",FALSE,0,NA,2017-11-15 23:50:06,FALSE,NA,"930946037816184832",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","bondichai",0,FALSE,FALSE,NA,NA
"17","Looking for quality social media management 4 your #cafe #winebrand #restaurant or #bar - try these guys https://t.co/h11CO7yKfn #wine #bars",FALSE,0,NA,2017-11-15 23:50:06,FALSE,NA,"930946037388279808",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","sydneycafes",2,FALSE,FALSE,NA,NA
"18","It's #HumpDay!  Need to #WindDown?  Every Wednesday, it's #HalfPrice bottles of #Wine at #bdsMongolianGrill!… https://t.co/YbCf85Obdq",FALSE,1,NA,2017-11-15 23:50:04,TRUE,NA,"930946030081802240",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","bds_Mongolian",0,FALSE,FALSE,NA,NA
"19","St. Martin’s Month and a 2017 (mini) Harvest Report - #Slovenia #Wine Notes for November… https://t.co/Bz4CipL9e6 https://t.co/vG7IEgLxQG",FALSE,1,NA,2017-11-15 23:49:35,FALSE,NA,"930945910783250434",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","pirancafe",2,FALSE,FALSE,NA,NA
"20","Excited to hear @Cognizant leaders @Malcolm_M_Frank and @BenjaminPring speak about #AI and #technology and drink so… https://t.co/O9qicyERW6",FALSE,2,NA,2017-11-15 23:49:19,TRUE,NA,"930945840784560131",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JFisch2286",2,FALSE,FALSE,NA,NA
"21","Call Now to book limo for Wine tour and Get 25% #Discount. 
#Visit our website https://t.co/83TZbZ2rMr

#Limousine… https://t.co/YgmGmqKlkx",FALSE,0,NA,2017-11-15 23:49:17,TRUE,NA,"930945834014961664",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","LimousineAtlas",0,FALSE,FALSE,NA,NA
"22","Beer Shipped to Your Door - https://t.co/1SAcesY2tN - #CraftBeer #Beer #Wine #Spirits #_S_J_K_ - #Beer_7_0_3 https://t.co/k7jletIQHh",FALSE,0,NA,2017-11-15 23:49:16,FALSE,NA,"930945831049596928",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","StevenAlways",0,FALSE,FALSE,NA,NA
"23","We are excited for our Mittal Club Wine Dinner Friday @AllegrettoVR !!! #wine #foodandwine #pasorobles https://t.co/7jKd07eqzn",FALSE,0,NA,2017-11-15 23:48:08,FALSE,NA,"930945545253748736",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LXVWine",0,FALSE,FALSE,NA,NA
